info,Type,Type2,Rb,Sr,Y,Zr,Nb
dhrl83-b-014,Biface,Biface,6.666666667,211.3333333,33.66666667,127.6666667,9.333333333
dhrl83-b-016,Biface,ProjectilePoint,22.66666667,372,37,132.6666667,6
dhrl83-b-017,Biface,ProjectilePoint,124,424,9,191.3333333,10
dhrl83-b-018,Biface,Biface,4.333333333,135.3333333,18.66666667,116,8
dhrl83-b-019,Biface,ProjectilePoint,15.66666667,156.6666667,19,121.3333333,9
dhrl83-b-020,Biface,ProjectilePoint,55,267,19,80.66666667,3.333333333
dhrl83-b-021,Biface,Biface,13.33333333,345.3333333,46,174.6666667,6
dhrl83-b-022,Biface,Biface,22,363.3333333,32,135,5
dhrl83-b-023,Biface,Biface,5,143,18,109.3333333,6
dhrl83-b-024,Biface,Biface,3.333333333,118.3333333,17,104.3333333,4.333333333
dhrl83-b-025,Biface,ProjectilePoint,23.66666667,702,13,142.3333333,1.666666667
dhrl83-b-027,Biface,ProjectilePoint,18.33333333,17,6.333333333,22.66666667,2
dhrl83-b-029,Biface,ProjectilePoint,4,135.6666667,23,152.3333333,7.333333333
dhrl83-b-030,Biface,ProjectilePoint,121,431,9,185.3333333,6
dhrl83-b-031,Biface,ProjectilePoint,109,480.3333333,8.333333333,175,3
dhrl83-b-032,Biface,Biface,20.33333333,174.6666667,21.66666667,130,9
dhrl83-b-034,Biface,Biface,7,141.3333333,16.66666667,105,6.333333333
dhrl83-b-036,Biface,Biface,78.66666667,688.3333333,7.666666667,190.3333333,5.666666667
dhrl83-b-037,Biface,Biface,4.666666667,144.3333333,20,124.6666667,8
dhrl83-b-038,Biface,Biface,12.33333333,413.3333333,50.66666667,179.3333333,5.666666667
dhrl83-b-040,Biface,Biface,32,305.6666667,37.66666667,128.3333333,6.333333333
dhrl83-b-042,Biface,ProjectilePoint,57,272.6666667,18,82.33333333,3.333333333
dhrl83-b-043,Biface,ProjectilePoint,37.66666667,672.3333333,13.33333333,195.3333333,10.33333333
dhrl83-b-044,Biface,ProjectilePoint,39,72.75,14.75,95.25,5.25
dhrl83-b-045,Biface,ProjectilePoint,120,490,19.66666667,255.6666667,17
dhrl83-b-046,Biface,ProjectilePoint,2,104.6666667,19.33333333,118,7
dhrl83-b-047,Biface,ProjectilePoint,30,187.3333333,34.66666667,215,9
dhrl83-b-048,Biface,ProjectilePoint,100.25,455.5,25,270,15
dhrl83-b-049,Biface,ProjectilePoint,122.6666667,438.6666667,8.666666667,190.3333333,8.666666667
dhrl83-b-050,Biface,ProjectilePoint,106,550.3333333,11.33333333,195.3333333,8.333333333
dhrl83-b-051,Biface,ProjectilePoint,92.66666667,546.3333333,20.66666667,245.3333333,11.66666667
dhrl83-b-052,Biface,ProjectilePoint,24.66666667,638,43.33333333,150.6666667,8
dhrl83-b-053,Biface,LargeBiface,14,401,35,152.3333333,8.666666667
dhrl83-b-054,Biface,Biface,16.33333333,181,17.33333333,102.3333333,7
dhrl83-b-055,Biface,LargeBiface,27.33333333,288.3333333,34.33333333,127.6666667,6.666666667
dhrl83-b-057,Biface,LargeBiface,16.33333333,159.3333333,18.66666667,112.6666667,8
dhrl83-b-059,Biface,LargeBiface,19.66666667,316,30.66666667,109,5.333333333
dhrl83-b-060,Biface,LargeBiface,29.66666667,275.3333333,34.33333333,119,8
dhrl83-b-061,Biface,LargeBiface,14.66666667,181.3333333,20.66666667,120.3333333,10.33333333
dhrl83-b-062,Biface,Biface,11.33333333,158.3333333,16,105.6666667,8.333333333
dhrl83-b-063,Biface,LargeBiface,13.33333333,157,17.66666667,113.6666667,6.666666667
dhrl83-b-064,Biface,Biface,12,156.3333333,17.33333333,113.3333333,7
dhrl83-b-065,Biface,Biface,24.33333333,307.6666667,37,160.3333333,7.666666667
dhrl83-b-066,Biface,Biface,11.66666667,75,20,101,5
dhrl83-b-068,Biface,Biface,12,176.3333333,19,110,7.666666667
dhrl83-b-070,Biface,Biface,34.66666667,373.3333333,37,153.3333333,7
dhrl83-b-071,Biface,Biface,15,111.3333333,17,96.33333333,6
dhrl83-b-072,Biface,Biface,12.33333333,156,20.33333333,117,8.666666667
dhrl83-b-074,Biface,Biface,2.333333333,131.3333333,18.66666667,116,8
dhrl83-b-076,Biface,Biface,30,251.6666667,30.33333333,102,1.333333333
dhrl83-b-077,Biface,Biface,10.66666667,164,19.66666667,101,8
dhrl83-b-078,Biface,Biface,20,180.6666667,20.33333333,123,7.666666667
dhrl83-b-079,Biface,Biface,14.66666667,175.3333333,19.66666667,126.3333333,6
dhrl83-b-080,Biface,Biface,15.66666667,158.6666667,19,115.3333333,6
dhrl83-b-081,Biface,Biface,12.33333333,373,46.33333333,197.6666667,8
dhrl83-b-083,Biface,Biface,4.333333333,139.3333333,17,102.3333333,6.333333333
dhrl83-b-084,Biface,LargeBiface,28.33333333,341,37.66666667,149.6666667,3.666666667
dhrl83-b-085,Biface,LargeBiface,18.33333333,342,40.66666667,155,10.66666667
dhrl83-b-086,Biface,Biface,2.333333333,129,18,108,7.666666667
dhrl83-b-087,Biface,Biface,14.33333333,141.3333333,15,102.3333333,6.666666667
dhrl83-b-088,Biface,Biface,58.33333333,257.3333333,19,84,4
dhrl83-b-090,Biface,LargeBiface,13.33333333,387.3333333,30.33333333,137,5.333333333
dhrl83-b-091,Biface,Biface,11.33333333,156,19.66666667,116,6.666666667
dhrl83-b-092,Biface,Biface,6,221,33.33333333,90.66666667,2.333333333
dhrl83-b-094,Biface,Biface,40,254,41,115.6666667,6
dhrl83-b-095,Biface,Biface,1,122,17.33333333,106.6666667,5.666666667
dhrl83-b-097,Biface,Biface,22.66666667,185,22.66666667,115.6666667,8.666666667
dhrl83-b-098,Biface,Biface,21.33333333,359.3333333,38.33333333,165.6666667,5.333333333
dhrl83-b-099,Biface,LargeBiface,27.66666667,445,34.66666667,137,6.666666667
dhrl83-b-100,Biface,Biface,8.333333333,143.6666667,17.33333333,112,1
dhrl83-b-101,Biface,Biface,24.66666667,161,16.66666667,101.6666667,7.666666667
dhrl83-b-102,Biface,Biface,34.66666667,309,37,134.6666667,7
dhrl83-b-103,Biface,Biface,2,110.6666667,16.66666667,98,7.333333333
dhrl83-b-104,Biface,LargeBiface,32,235.3333333,38.66666667,109.6666667,3
dhrl83-b-105,Biface,Biface,5,142,12.33333333,84.33333333,4
dhrl83-b-106,Biface,LargeBiface,12.33333333,159.3333333,21,120.3333333,10
dhrl83-b-107,Biface,Biface,28.33333333,392,41.33333333,150.3333333,7.333333333
dhrl83-b-108,Biface,Biface,5.333333333,137.3333333,17.66666667,109.6666667,5.333333333
dhrl83-b-111,Biface,Biface,10,345,39,162.6666667,7
dhrl83-b-112,Biface,Biface,20,160.3333333,19,114,5.666666667
dhrl83-b-113,Biface,Biface,38.33333333,237.3333333,25.66666667,108,3.333333333
dhrl83-b-114,Biface,LargeBiface,21,387.3333333,34,141.6666667,6
dhrl83-b-115,Biface,LargeBiface,15,165.3333333,23,125.6666667,10
dhrl83-b-116,Biface,Biface,14,146,21.33333333,116,5.666666667
dhrl83-b-117,Biface,Biface,36.66666667,401.3333333,34.66666667,155,6.333333333
dhrl83-b-118,Biface,Biface,31,290.3333333,40,130,6
dhrl83-b-119,Biface,Biface,11.66666667,148.3333333,19,114,6.333333333
dhrl83-b-120,Biface,Biface,5.666666667,147,20,115.6666667,7.333333333
dhrl83-b-121,Biface,Biface,3.666666667,126.6666667,16.66666667,100,5.333333333
dhrl83-b-122,Biface,Biface,15.33333333,413.6666667,37.66666667,147.6666667,6.333333333
dhrl83-b-123,Biface,Biface,7,137.3333333,21,128.6666667,8.666666667
dhrl83-b-124,Biface,Biface,20.66666667,148.3333333,39.66666667,227.3333333,9
dhrl83-b-127,Biface,Biface,33.66666667,139,33,212.3333333,9.666666667
dhrl83-b-128,Biface,ProjectilePoint,2,233.6666667,27.66666667,125,5.333333333
dhrl83-b-129,Biface,Biface,2,3,2,2,2
dhrl83-b-194,Biface,Biface,2,105,16.33333333,98,2
dhrl83-b-195,Biface,Biface,7,131.3333333,18.33333333,118,6.666666667
dhrl83-b-199,Biface,Biface,55,151.3333333,34.33333333,120.6666667,5.333333333
dhrl83-b-200,Biface,Biface,14.33333333,141.6666667,20,133.6666667,9.333333333
dhrl83-b-201,Biface,Biface,4.666666667,149.6666667,20.33333333,119.3333333,8
dhrl83-b-204,Biface,Biface,32,200,31.16666667,118.1666667,4
dhrl83-b-204a,Biface,Biface,8,152,15,97.33333333,5
dhrl83-b-208,Biface,LargeBiface,19,324.3333333,41.66666667,128.6666667,10.66666667
dhrl83-b-210,Biface,Biface,1.666666667,106.6666667,15.66666667,97.66666667,6
dhrl83-b-211,Biface,Biface,103,520,11,186.3333333,7.333333333
dhrl83-b-220,Biface,Biface,5.333333333,137.3333333,14.33333333,96.33333333,5.666666667
dhrl83-b-224,Biface,Biface,9.333333333,196,19.33333333,108,1.666666667
dhrl83-b-247,Biface,ProjectilePoint,5.333333333,150,23,109.3333333,7.666666667
dhrl83-b-248,Biface,Biface,10.66666667,168.6666667,16,107,1
dhrl83-b-253,Biface,Biface,19,266.6666667,29.66666667,97.66666667,3.666666667
dhrl83-b-258,Biface,ProjectilePoint,122.6666667,425.6666667,8,188.6666667,7
dhrl83-b-279,Biface,Biface,31.33333333,481.3333333,18,121,14.66666667
dhrl83-b-287,Biface,Biface,42.33333333,269.6666667,25,143,5.666666667
dhrl83-b-291,Biface,ProjectilePoint,21.66666667,306.3333333,40,157.3333333,6
dhrl83-b-294,Biface,Biface,28.5,491,18,120.75,14.5
dhrl83-b-314,Biface,ProjectilePoint,2.333333333,131,19,119,7
dhrl83-b-332,Biface,Biface,4.333333333,133.6666667,16.66666667,100,5
dhrl83-b-334,Biface,ProjectilePoint,22.66666667,274,29.66666667,111,1.666666667
dhrl83-b-3426,Biface,Biface,8.333333333,143.3333333,22.33333333,130,8.666666667
dhrl83-b-3428,Biface,Biface,28,371.6666667,41.66666667,153.6666667,7.666666667
dhrl83-b-3430,Biface,Biface,28,312.6666667,46,150,9.333333333
dhrl83-b-3431,Biface,LargeBiface,21,337,32.33333333,122.6666667,7
dhrl83-b-3432,Biface,Biface,48.66666667,165.6666667,48.66666667,262.6666667,12.66666667
dhrl83-b-3433,Biface,ProjectilePoint,25.33333333,442,19,103,7.666666667
dhrl83-b-3435,Biface,Biface,4,108.3333333,18.33333333,103.3333333,7
dhrl83-b-3436,Biface,Biface,71.66666667,346.6666667,27.33333333,147.3333333,10.66666667
dhrl83-b-3437,Biface,Biface,20.33333333,311,30.33333333,128.3333333,5.666666667
dhrl83-b-3439,Biface,Biface,14.66666667,297.6666667,38.66666667,148.3333333,7.333333333
